('Alicia', 'Viklund', '19810617-3367', '0736613737', 'alicia.viklund@hotmail.com'),
('Isak', 'Lindqvist', '19890925-9716', '0772840497', 'isak.lindqvist@hotmail.com'),
('Alice', 'Bengtsson', '19960730-6006', '0762550840', 'alice.bengtsson@gmail.com'),
('Ville', 'Vikström', '19620424-9553', '0772041026', 'ville.vikström@gmail.com'),
('Maja', 'Nilsson', '19690503-8497', '0767499994', 'maja.nilsson@gmail.com'),
('Filip', 'Vikman', '19980922-2972', '0754239371', 'filip.vikman@hotmail.com'),
('Jonathan', 'Hansson', '19660201-9053', '0794977662', 'jonathan.hansson@yahoo.com'),
('Sofia', 'Lenegren', '19850322-7218', '0775808800', 'sofia.lenegren@hotmail.com'),
('Ella', 'Viklund', '19840123-7246', '0732659936', 'ella.viklund@outlook.com'),
('William', 'Vik', '19670829-2930', '0709020806', 'william.vik@hotmail.com'),
('Ove', 'Vikman', '19800424-2601', '0715555231', 'ove.vikman@hotmail.com'),
('Vilmer', 'Nilsson', '19960402-3667', '0731742699', 'vilmer.nilsson@yahoo.com'),
('Joel', 'Lindskog', '19880427-6225', '0771056645', 'joel.lindskog@yahoo.com'),
('Oliver', 'Vikberg', '19600717-7818', '0777642352', 'oliver.vikberg@outlook.com'),
('Nils', 'Gustafsson', '19771211-6174', '0758801141', 'nils.gustafsson@outlook.com'),
('Ella', 'Rydman', '19610716-4367', '0786043661', 'ella.rydman@gmail.com'),
('Linn', 'Lindskog', '19670820-9317', '0737663480', 'linn.lindskog@outlook.com'),
('Emilia', 'Lindholm', '19600515-6245', '0730231481', 'emilia.lindholm@hotmail.com'),
('Milo', 'Lindskog', '19601108-5078', '0788046329', 'milo.lindskog@gmail.com'),
('Jonathan', 'Lindén', '19841116-7064', '0712810532', 'jonathan.lindén@gmail.com'),
('Albin', 'Pettersson', '19930811-7105', '0769440496', 'albin.pettersson@outlook.com'),
('Benjamin', 'Lindström', '19860315-6532', '0774515542', 'benjamin.lindström@outlook.com'),
('Isak', 'Pettersson', '19660322-5285', '0709585816', 'isak.pettersson@yahoo.com'),
('Saga', 'Lennartsson', '19690907-4634', '0794582093', 'saga.lennartsson@gmail.com'),
('Pontus', 'Lindgren', '19690818-8041', '0783875271', 'pontus.lindgren@yahoo.com'),
('Linus', 'Lindskog', '19641202-4772', '0781899543', 'linus.lindskog@gmail.com'),
('Leo', 'Lennartsson', '19861215-2013', '0734540225', 'leo.lennartsson@gmail.com'),
('Samuel', 'Karlsson', '19930208-6887', '0723244299', 'samuel.karlsson@outlook.com'),
('Ove', 'Gustafsson', '19781112-2883', '0724031325', 'ove.gustafsson@yahoo.com'),
('Elias', 'Lenegren', '19831120-4937', '0772494197', 'elias.lenegren@outlook.com'),
('Jesper', 'Månsson', '19700321-7061', '0703359330', 'jesper.månsson@yahoo.com'),
('Freja', 'Lindskog', '19730927-2392', '0758260906', 'freja.lindskog@gmail.com'),
('Gustav', 'Vik', '19880528-3095', '0706898369', 'gustav.vik@yahoo.com'),
('Nils', 'Lindberg', '19770322-2012', '0757691178', 'nils.lindberg@yahoo.com'),
('Lucian', 'Rydberg', '19950509-9115', '0769350982', 'lucian.rydberg@yahoo.com'),
('Jonathan', 'Ryding', '19650903-7891', '0787138056', 'jonathan.ryding@gmail.com'),
('Josef', 'Jönsson', '19680530-9746', '0723267419', 'josef.jönsson@outlook.com'),
('Noah', 'Vikman', '19780620-4242', '0719061001', 'noah.vikman@gmail.com'),
